"","Degree","Closeness","Betweennes","Eigenvector","SS","Node","Partition","Country","Level"
"text4642",0,NA,0,1.04199242430476e-17,"text464","text464","Program","Ecuador","Specialization"
"text4652",0,NA,0,1.04199242430476e-17,"text465","text465","Program","Ecuador","Specialization"
"text4662",0,NA,0,1.04199242430476e-17,"text466","text466","Program","Ecuador","Specialization"
"text4672",0,NA,0,1.04199242430476e-17,"text467","text467","Program","Ecuador","Specialization"
"text4682",0,NA,0,1.04199242430476e-17,"text468","text468","Program","Ecuador","Specialization"
"text4692",0,NA,0,1.04199242430476e-17,"text469","text469","Program","Ecuador","Specialization"
"text4702",0,NA,0,1.04199242430476e-17,"text470","text470","Program","Ecuador","Specialization"
"text4715",0,NA,0,1.04199242430476e-17,"text471","text471","Program","Ecuador","Specialization"
"text4722",0,NA,0,1.04199242430476e-17,"text472","text472","Program","Ecuador","Specialization"
"text4732",0,NA,0,1.04199242430476e-17,"text473","text473","Program","Ecuador","Specialization"
"text4742",0,NA,0,1.04199242430476e-17,"text474","text474","Program","Ecuador","Specialization"
"text4822",0,NA,0,1.04199242430476e-17,"text482","text482","Program","Ecuador","Specialization"
"text5191",0,NA,0,1.04199242430476e-17,"text519","text519","Program","Ecuador","Specialization"
"text5251",0,NA,0,1.04199242430476e-17,"text525","text525","Program","Ecuador","Specialization"
"text5271",0,NA,0,1.04199242430476e-17,"text527","text527","Program","Ecuador","Specialization"
"text5361",0,NA,0,1.04199242430476e-17,"text536","text536","Program","Ecuador","Specialization"
"text5371",0,NA,0,1.04199242430476e-17,"text537","text537","Program","Ecuador","Specialization"
"text5491",0,NA,0,1.04199242430476e-17,"text549","text549","Program","Ecuador","Specialization"
"text5741",0,NA,0,1.04199242430476e-17,"text574","text574","Program","Ecuador","Specialization"
"text5751",0,NA,0,1.04199242430476e-17,"text575","text575","Program","Ecuador","Specialization"
"text5761",0,NA,0,1.04199242430476e-17,"text576","text576","Program","Ecuador","Specialization"
"text5771",0,NA,0,1.04199242430476e-17,"text577","text577","Program","Ecuador","Specialization"
"text5781",0,NA,0,1.04199242430476e-17,"text578","text578","Program","Ecuador","Specialization"
"text5791",0,NA,0,1.04199242430476e-17,"text579","text579","Program","Ecuador","Specialization"
"text5801",0,NA,0,1.04199242430476e-17,"text580","text580","Program","Ecuador","Specialization"
"text5814",0,NA,0,1.04199242430476e-17,"text581","text581","Program","Ecuador","Specialization"
"text5821",0,NA,0,1.04199242430476e-17,"text582","text582","Program","Ecuador","Specialization"
"text5831",0,NA,0,1.04199242430476e-17,"text583","text583","Program","Ecuador","Specialization"
"text5841",0,NA,0,1.04199242430476e-17,"text584","text584","Program","Ecuador","Specialization"
"text5851",0,NA,0,1.04199242430476e-17,"text585","text585","Program","Ecuador","Specialization"
"text5861",0,NA,0,1.04199242430476e-17,"text586","text586","Program","Ecuador","Specialization"
"text5871",0,NA,0,1.04199242430476e-17,"text587","text587","Program","Ecuador","Specialization"
"text5881",0,NA,0,1.04199242430476e-17,"text588","text588","Program","Ecuador","Specialization"
"text5891",0,NA,0,1.04199242430476e-17,"text589","text589","Program","Ecuador","Specialization"
"text5901",0,NA,0,1.04199242430476e-17,"text590","text590","Program","Ecuador","Specialization"
"text5914",0,NA,0,1.04199242430476e-17,"text591","text591","Program","Ecuador","Specialization"
"text5921",0,NA,0,1.04199242430476e-17,"text592","text592","Program","Ecuador","Specialization"
"text5931",0,NA,0,1.04199242430476e-17,"text593","text593","Program","Ecuador","Specialization"
"text5941",0,NA,0,1.04199242430476e-17,"text594","text594","Program","Ecuador","Specialization"
"text5951",0,NA,0,1.04199242430476e-17,"text595","text595","Program","Ecuador","Specialization"
"text5961",0,NA,0,1.04199242430476e-17,"text596","text596","Program","Ecuador","Specialization"
"text5971",0,NA,0,1.04199242430476e-17,"text597","text597","Program","Ecuador","Specialization"
"text5981",0,NA,0,1.04199242430476e-17,"text598","text598","Program","Ecuador","Specialization"
"text5991",0,NA,0,1.04199242430476e-17,"text599","text599","Program","Ecuador","Specialization"
"text6001",0,NA,0,1.04199242430476e-17,"text600","text600","Program","Ecuador","Specialization"
"text6015",0,NA,0,1.04199242430476e-17,"text601","text601","Program","Ecuador","Specialization"
